"region_a","region_b","weight","total_streams_a"
"us","hn",363,7986316247
"us","sv",359,7986316247
"py","gt",4647,286041437
"cz","bo",213,133732925
"sk","ar",85,59822451
"mx","fr",444,3730515231
"pa","gb",133,103847109
"us","id",536,7986316247
"pt","at",2048,196362474
"se","lu",161,944441421
"pe","lt",279,709049813
"jp","es",3,1288700883
"ni","au",247,39326273
"se","global",2061,944441421
"mx","lt",528,3730515231
"sk","pl",981,59822451
"ro","fr",1234,66480910
"es","au",82,2478566814
"ni","lu",32,39326273
"mx","at",411,3730515231
"pa","il",139,103847109
"do","ca",76,107506637
"pt","lt",2586,196362474
"uy","pe",4173,121078533
"nl","cl",123,1238457931
"no","hk",1075,569319503
"vn","in",897,183269158
"sk","mx",474,59822451
"se","au",2128,944441421
"pe","at",214,709049813
"nz","no",2670,238911758
"global","dk",2736,29060235997
"jp","bg",108,1288700883
"it","global",502,2125984974
"it","ar",73,2125984974
"us","lt",2714,7986316247
"sg","ec",199,233681017
"no","is",2632,569319503
"se","ie",2123,944441421
"pa","jp",48,103847109
"pe","id",214,709049813
"nz","ec",183,238911758
"sg","no",1941,233681017
"ni","de",186,39326273
