"region_a","region_b","weight","total_streams_a"
"za","tw",808,82232947
"cr","bg",332,169967588
"th","cz",241,373758083
"us","pa",241,7986316247
"br","au",202,4201011223
"il","fi",1495,114722000
"mx","ee",462,3730515231
"sk","be",3364,59822451
"pe","ni",4401,709049813
"lv","cr",331,26516393
"lu","hu",322,1665635
"id","cz",564,1522282447
"ro","do",109,66480910
"pl","es",75,778042542
"es","ch",193,2478566814
"py","bo",4836,286041437
"pt","ee",2346,196362474
"vn","ro",489,183269158
"cl","bg",56,1569157590
"za","is",2377,82232947
"is","cl",50,36469203
"th","gr",66,373758083
"th","nz",473,373758083
"pt","ni",548,196362474
"ec","be",234,258948980
"se","ch",2116,944441421
"gr","cr",225,160374254
"id","gr",221,1522282447
"hn","global",1105,80897137
"ni","ch",371,39326273
"ph","bo",76,1335593544
"pe","ee",204,709049813
"in","hk",954,1196976949
"tw","no",732,235686855
"lt","cl",55,36780208
"my","gt",207,296407407
"it","co",90,2125984974
"nz","global",3925,238911758
"us","ni",336,7986316247
"ch","bo",331,227284570
"hn","ee",253,80897137
"tr","cr",135,1249971688
"pe","pa",4304,709049813
"tw","ec",98,235686855
"pl","dk",812,778042542
"dk","at",2360,420215977
"us","ee",2677,7986316247
"il","hu",2343,114722000
"ie","ec",182,301787717
"sv","ar",3248,104100002
"pa","ca",134,103847109
"lu","fi",191,1665635
"za","hk",1363,82232947
"fi","ca",2175,292593197
"it","ec",148,2125984974
"th","in",592,373758083
"sg","ar",103,233681017
"tr","lv",343,1249971688
"pl","bg",875,778042542
"tw","co",107,235686855
"nz","ar",76,238911758
"pt","pa",438,196362474
"ie","co",100,301787717
"lv","global",3917,26516393
"pl","nl",869,778042542
"lt","bg",3627,36780208
"th","ni",127,373758083
"nz","my",2180,238911758
"pt","nz",2613,196362474
"pt","gr",1175,196362474
"uy","is",67,121078533
"il","br",206,114722000
"ph","mx",177,1335593544
"pe","cz",229,709049813
"th","ee",250,373758083
"py","pl",35,286041437
"sg","my",4784,233681017
"vn","id",1494,183269158
"mx","cz",460,3730515231
"lu","gb",317,1665635
"de","ar",70,2848080355
"lt","dk",2576,36780208
"gr","ca",1388,160374254
"is","es",84,36469203
"us","in",1027,7986316247
"cz","co",106,133732925
"sv","my",285,104100002
"mx","gr",268,3730515231
"id","ee",463,1522282447
"tw","pt",483,235686855
"pl","cl",39,778042542
"py","mx",3962,286041437
"pt","cz",2293,196362474
"pe","gr",136,709049813
"pe","nz",219,709049813
"lv","ca",3878,26516393
"cr","cl",4521,169967588
"my","co",118,296407407
"ro","ch",3461,66480910
"th","pa",73,373758083
"fr","co",190,1747249125
"it","gt",148,2125984974
"es","do",3016,2478566814
"us","cz",2053,7986316247
"il","gb",1861,114722000
"pa","lv",154,103847109
"fi","cr",286,292593197
"lt","es",87,36780208
"is","dk",2436,36469203
"hn","cz",276,80897137
"pt","in",1212,196362474
"vn","lt",526,183269158
"se","do",74,944441421
"hu","hk",1219,106950270
"lu","br",8,1665635
"my","ec",196,296407407
"fr","ec",286,1747249125
"hn","gr",166,80897137
"vn","at",314,183269158
"pa","cr",4787,103847109
"pe","in",223,709049813
"jp","hk",344,1288700883
"us","th",366,7986316247
"ni","ee",250,39326273
"sv","bo",5017,104100002
"pe","ch",340,709049813
"pa","it",143,103847109
"tw","gt",131,235686855
"is","bg",2438,36469203
"us","gr",1258,7986316247
"us","nz",3273,7986316247
"uy","hk",106,121078533
"tr","ca",346,1249971688
"ni","do",4459,39326273
"ie","gt",200,301787717
"gt","bo",5168,211651568
"mx","in",258,3730515231
"global","ee",3400,29060235997
"ch","ar",218,227284570
"mx","ch",597,3730515231
"ee","br",143,26079298
"ro","in",1367,66480910
"nz","bo",208,238911758
"dk","de",1867,420215977
"no","es",86,569319503
"se","ee",1926,944441421
"lu","jp",9,1665635
"my","be",1941,296407407
"fr","be",2006,1747249125
"es","ee",75,2478566814
"br","at",134,4201011223
"pt","ch",2779,196362474
"sg","bo",248,233681017
"vn","fr",172,183269158
"sk","pt",2222,59822451
"se","ni",256,944441421
"cz","be",3483,133732925
"hn","ch",363,80897137
"no","dk",2657,569319503
"id","do",38,1522282447
"ro","cz",3154,66480910
"global","ar",811,29060235997
"us","ch",2484,7986316247
"uy","global",825,121078533
"ph","ar",18,1335593544
"lu","il",128,1665635
"th","do",42,373758083
"dk","au",2779,420215977
"tr","sg",211,1249971688
"vn","hn",158,183269158
"vn","sv",168,183269158
"ro","pa",177,66480910
"tw","be",752,235686855
"th","ch",245,373758083
"global","bo",1076,29060235997
"py","my",49,286041437
"sg","pl",631,233681017
"no","nl",2374,569319503
"ie","be",3574,301787717
"se","nz",1929,944441421
"se","gr",771,944441421
"ro","gr",1596,66480910
"ro","nz",2809,66480910
"jp","is",84,1288700883
"py","ar",3808,286041437
"no","bg",2473,569319503
"se","pa",130,944441421
"sk","gt",203,59822451
"ni","cz",267,39326273
"vn","de",251,183269158
"sv","mx",5028,104100002
"za","global",3592,82232947
"id","ch",476,1522282447
"es","cz",85,2478566814
"us","do",188,7986316247
"sg","mx",450,233681017
"ni","gr",140,39326273
"tr","it",158,1249971688
"vn","ie",545,183269158
"gt","ar",3280,211651568
"it","be",606,2125984974
"nz","mx",395,238911758
"hn","do",4969,80897137
"nl","hk",1099,1238457931
"tr","ph",63,1249971688
"vn","py",46,183269158
"no","cl",58,569319503
"ph","my",3285,1335593544
"sv","pl",167,104100002
"se","cz",1787,944441421
"ro","ni",317,66480910
"nl","is",1930,1238457931
"ec","co",5268,258948980
"sk","no",2322,59822451
"ro","ee",3426,66480910
"do","br",25,107506637
"pt","do",325,196362474
"vn","au",712,183269158
"vn","se",273,183269158
"se","in",737,944441421
"sk","ec",182,59822451
"vn","lu",28,183269158
"lv","it",545,26516393
"pe","do",3819,709049813
"de","bo",167,2848080355
"pl","pe",131,778042542
"ni","in",193,39326273
"sk","co",105,59822451
"mx","do",3781,3730515231
